date,foreign_net,trust_net,dealer_net,total_institutional_net
2025-09-22,-66.50808558,-52.64117265,77.63768812,-41.51157011
2025-09-23,106.38719207,-15.69628564,32.05508461,122.74599104
2025-09-24,-129.50186461,-85.66887088,69.51114347,-145.65959202
2025-09-25,1.06720086,-17.41264243,70.17372982,53.82828825
2025-09-26,-251.57852509,-56.52013477,-45.25692203,-353.35558189
2025-09-30,65.50967708,6.96563422,59.94898226,132.42429356
2025-10-01,126.64964009,6.33133899,32.97003911,165.95101819
2025-10-02,234.09818512,2.37157488,88.2301202,324.6998802
2025-10-03,169.59990133,-16.89575342,60.50341267,213.20756058
2025-10-07,6.76562801,-67.12400915,113.6796534,53.32127226
2025-10-08,-140.94387269,-43.46217344,31.25885776,-153.14718837
2025-10-09,44.51256397,-23.71509167,60.33295063,81.13042293
2025-10-13,-563.12754939,-7.27586554,-108.07071417,-678.4741291
2025-10-14,-163.48769283,-18.75833093,-62.48507878,-244.73110254
2025-10-15,-151.00216875,-10.3720155,31.77280148,-129.60138277
2025-10-16,129.59197265,2.00305686,106.11204633,237.70707584
2025-10-17,-219.97157761,-57.64756289,-38.55028422,-316.16942472
2025-10-20,142.22590437,-29.92595188,58.73713719,171.03708968
2025-10-21,-2.40714297,-38.89235937,85.54849944,44.2489971
2025-10-22,-224.07410493,-23.06397931,27.50619314,-219.6318911
2025-10-23,-239.42493081,-11.00436637,2.4952862,-247.93401098
2025-10-27,326.39212655,-30.45273794,215.67895025,511.61833886
2025-10-28,-271.13846791,6.18383184,25.34608111,-239.60855496
2025-10-29,71.88118436,-48.13902331,86.13137795,109.873539
2025-10-30,16.55522597,-54.3347896,4.73652176,-33.04304187
2025-10-31,-283.96614914,-34.78817647,74.8140902,-243.94023541
2025-11-03,-84.45597152,-0.2499942,-0.04493283,-84.75089855
2025-11-04,-76.3118732,36.44389392,-68.40707173,-108.27505101
2025-11-05,-575.27398939,-14.02487077,-61.6121544,-650.91101456
2025-11-06,-51.61228109,27.13254081,43.90237447,19.42263419
2025-11-07,-353.56498169,-13.89320008,-105.84156767,-473.29974944
2025-11-10,-52.91526198,30.37382623,37.06517573,14.52373998
2025-11-11,-173.67623754,23.37032235,-47.86115119,-198.16706638
2025-11-12,-84.84304834,-24.48349841,34.377003,-74.94954375
2025-11-13,-66.35665606,-9.72024239,15.89238899,-60.18450946
2025-11-14,-603.99178503,-47.41432411,-188.39255538,-839.79866452
2025-11-17,73.3524278,-86.95463296,-146.99345762,-160.59566278
2025-11-18,-485.3789197,-31.90317648,-191.41988967,-708.70198585
2025-11-19,-256.89012839,10.75226767,-80.6801551,-326.81801582
2025-11-20,131.06672651,13.42394479,55.26616773,199.75683903
2025-11-21,-915.99036019,-10.2377126,-152.73985905,-1078.96793184
2025-11-24,-299.55849627,-6.88614563,15.15241196,-291.29222994
2025-11-25,63.38446345,-20.34450321,29.10545015,72.14541039
2025-11-26,124.22608882,120.21952422,-17.0272735,227.41833954
2025-11-27,134.52960146,76.45285077,29.31793576,240.30038799
2025-11-28,-194.69555406,48.46350911,116.99486639,-29.23717856
2025-12-01,-243.4923526,76.6983852,-21.90365967,-188.69762707
2025-12-02,135.75293316,13.24853968,34.42989139,183.43136423
2025-12-03,162.1480602,14.0442304,38.64197913,214.83426973
2025-12-04,103.45999632,-6.51930842,13.0556561,109.996344
2025-12-05,368.78028912,-5.05387079,56.48880587,420.2152242
2025-12-08,140.87614446,1.50345516,49.63908588,192.0186855
2025-12-09,-58.88471251,-6.06058974,21.2092855,-43.73601675
2025-12-10,196.07451411,18.39673496,52.61422253,267.0854716
2025-12-11,-189.76810065,21.01997667,-24.89201839,-193.64014237
2025-12-12,166.239245,13.47533033,74.21292106,253.92749639
2025-12-15,-489.94972132,-21.23208168,-36.55615199,-547.73795499
2025-12-16,-595.00908751,36.31124945,-149.23972559,-707.93756365
2025-12-17,-354.33545584,7.97557087,109.91187292,-236.44801205
2025-12-18,-268.41406358,37.46563648,71.34767014,-159.60075696
2025-12-19,-1.24354784,43.48688134,75.39326612,117.63659962
2025-12-22,226.21542928,11.19460399,158.30505209,395.71508536
2025-12-23,-81.74762559,17.94857858,81.36437179,17.56532478
2025-12-24,-38.01817255,-47.04776318,97.9658686,12.89993287
2025-12-26,84.17223242,-52.55128057,65.29514026,96.91609211
2025-12-29,95.09908064,-13.06980775,68.18662297,150.21589586
2025-12-30,44.72379809,-40.81305493,22.10290672,26.01364988
2025-12-31,-5.18748905,-28.74154596,-33.62385126,-67.55288627
2026-01-02,120.17853596,-41.90433088,112.35707441,190.63127949
2026-01-05,-76.43473164,-3.11010683,107.49337957,27.9485411
2026-01-06,28.41412934,-27.79282421,91.97879871,92.60010384
2026-01-07,-295.09905222,-82.13565376,22.7879051,-354.44680088
2026-01-08,-6.7848922,-55.33429874,-52.75896688,-114.87815782
2026-01-09,-84.42363369,-47.28599177,19.48437362,-112.22525184
2026-01-12,-121.66567091,-100.00119015,76.71586285,-144.95099821
2026-01-13,157.41315371,-67.72933457,38.70571836,128.3895375
2026-01-14,132.82502115,-65.1167522,71.13098768,138.83925663
2026-01-15,-2.10224483,-27.79111513,-58.43268259,-88.32604255
2026-01-16,399.16564467,-77.19604109,50.54434102,372.5139446
2026-01-19,-277.94762468,-131.22703996,-53.00507794,-462.17974258
2026-01-20,-39.83496875,-87.99345593,-29.31907087,-157.14749555
2026-01-21,-445.68289093,-175.08438068,-155.60522274,-776.37249435
2026-01-22,192.78125481,-19.18073606,70.42295015,244.0234689
2026-01-23,232.08504577,-8.3759119,46.87425919,270.58339306
2026-01-26,-14.9277468,-41.26731033,-33.21537471,-89.41043184
2026-01-27,222.78875956,-50.18348773,53.15618657,225.7614584
2026-01-28,332.75865867,-13.87712336,-18.46811846,300.41341685
2026-01-29,146.59217084,-29.59104359,-134.16003792,-17.15891067
2026-01-30,-512.39194984,-33.02144713,-93.9286241,-639.34202107
2026-02-02,-480.50347608,49.53294385,-104.97749268,-535.94802491
2026-02-03,72.67812207,106.17248361,-68.91888982,109.93171586
2026-02-04,120.66044162,58.20723412,-16.69592243,162.17175331
2026-02-05,-726.94499199,31.59777411,-208.7691164,-904.11633428
2026-02-06,-71.5299463,67.63863326,-188.86144763,-192.75276067
2026-02-09,247.68616529,8.95780272,106.77765292,363.42162093
